"PROBEID" "SYMBOL" "ENTREZID"
"ILMN_1321" "CDH19" "28513"
"ILMN_13210" "POP5" "51367"
"ILMN_13219" "RHOBTB1" "9886"
"ILMN_1322" "DCST1" "149095"
"ILMN_13221" "FSTL3" "10272"
"ILMN_13223" "KCNB2" "9312"
"ILMN_13226" "OR5H2" "79310"
"ILMN_13229" "VPS11" "55823"
"ILMN_1323" "SLC10A4" "201780"
"ILMN_13231" "GPR82" "27197"
"ILMN_13232" "C10orf113" "387638"
"ILMN_13234" "TAF1B" "9014"
"ILMN_13235" "STIL" "6491"
"ILMN_13236" "T2R55" NA
"ILMN_13238" "MGC16824" NA
"ILMN_13239" "OR52A4" NA
"ILMN_1324" "NKIRAS2" "28511"
"ILMN_13240" "RASGEF1C" "255426"
"ILMN_13241" "DONSON" "29980"
"ILMN_13242" "PANX1" "24145"
"ILMN_13243" "ZC3HAV1" "56829"
"ILMN_13246" "KRTAP13-2" "337959"
"ILMN_13248" "TPST2" "8459"
"ILMN_13249" "MYOC" "4653"
"ILMN_1325" "STX18" "53407"
"ILMN_13250" "C10orf110" NA
"ILMN_13251" "CTTN" "2017"
"ILMN_13252" "CLN6" "54982"
"ILMN_13253" "KIAA1189" NA
"ILMN_13254" "PTX3" "5806"
"ILMN_13255" "RTP2" "344892"
"ILMN_13257" "SORCS3" "22986"
"ILMN_13258" "HADHSC" NA
"ILMN_13259" "RYBP" "23429"
"ILMN_1326" "C1orf175" NA
"ILMN_13260" "PSMA7" "5688"
"ILMN_13261" "AURKC" "6795"
"ILMN_13262" "TRPV2" "51393"
"ILMN_13263" "CYC1" "1537"
"ILMN_13264" "GTPBP3" "84705"
"ILMN_13265" "SHC4" "399694"
"ILMN_13268" "SLC27A1" "376497"
"ILMN_13270" "BCKDHA" "593"
"ILMN_13272" "AGTR1" "185"
"ILMN_13273" "EFHD2" "79180"
"ILMN_13274" "CYBB" "1536"
"ILMN_13275" "LANCL1" "10314"
"ILMN_13276" "TSSK6" "83983"
"ILMN_13277" "SH3GL1" "6455"
"ILMN_13278" "PTN" "5764"
"ILMN_13279" "CDIPT" "10423"
"ILMN_1328" "PPP2R3B" "28227"
"ILMN_13280" "SLC13A3" "64849"
"ILMN_13281" "GHRHR" "2692"
"ILMN_13282" "SLC6A15" "55117"
"ILMN_13283" "HNMT" "3176"
"ILMN_13285" "FANCA" "2175"
"ILMN_13286" "ZNF624" "57547"
"ILMN_13288" "BAIAP2" "10458"
"ILMN_13291" "BRIP1" "83990"
"ILMN_13292" "SOX2" "6657"
"ILMN_13293" "IVD" "3712"
"ILMN_13294" "ZNF91" "7644"
"ILMN_13295" "TLE3" "7090"
"ILMN_13296" "POP7" "10248"
"ILMN_13297" "POLR3G" "10622"
"ILMN_13298" "NAT10" "55226"
"ILMN_13299" "TBC1D8" "11138"
"ILMN_13301" "HCFC2" "29915"
"ILMN_13302" "C21orf6" NA
"ILMN_13303" "WDR8" NA
"ILMN_13306" "TMEM10" NA
"ILMN_13307" "MRPL4" "51073"
"ILMN_13309" "C14orf44" NA
"ILMN_13310" "ATF7" "11016"
"ILMN_13312" "NALP4" NA
"ILMN_13313" "GIPC2" "54810"
"ILMN_13315" "C1orf64" "149563"
"ILMN_13316" "ASB6" "140459"
"ILMN_13318" "CDH26" "60437"
"ILMN_13320" "HOM-TES-103" NA
"ILMN_13323" "OR2H1" "26716"
"ILMN_13325" "SLC36A4" "120103"
"ILMN_13327" "ZNF263" "10127"
"ILMN_13328" "PTGER4" "5734"
"ILMN_1333" "RIPK5" NA
"ILMN_13330" "SEPT5" "5413"
"ILMN_13331" "C18orf43" NA
"ILMN_13337" "C3orf19" NA
"ILMN_13338" "SULT6B1" "391365"
"ILMN_13342" "NUP188" "23511"
"ILMN_13343" "NRG3" "10718"
"ILMN_13345" "MGC33894" NA
"ILMN_13346" "C13orf21" NA
"ILMN_13347" "OR2T11" "127077"
"ILMN_13349" "CSN3" "1448"
"ILMN_1335" "FLJ20010" NA
"ILMN_13350" "ZNF323" NA
"ILMN_13351" "SNTG2" "54221"
"ILMN_13352" "TPARL" NA
"ILMN_13353" "CYFIP1" "23191"
"ILMN_13354" "BRD2" "6046"
"ILMN_13357" "MCMDC1" NA
"ILMN_13359" "TPST2" "8459"
"ILMN_13360" "KLHL26" "55295"
"ILMN_13361" "APOA4" "337"
"ILMN_13362" "IFNA8" "3445"
"ILMN_13363" "LOC147650" NA
"ILMN_13364" "ACTG2" "72"
"ILMN_13365" "AKT3" "10000"
"ILMN_13367" "CALB1" "793"
"ILMN_13368" "AKAP11" "11215"
"ILMN_13369" "KRTHA5" NA
"ILMN_1337" "C5orf21" NA
"ILMN_13370" "RUNX1T1" "862"
"ILMN_13371" "GTF2H2" "2966"
"ILMN_13372" "LOC401623" NA
"ILMN_13373" "TCEAL7" "56849"
"ILMN_13374" "FLJ14668" NA
"ILMN_13375" "SCN3B" "55800"
"ILMN_13376" "FOXA2" "3170"
"ILMN_13377" "FLJ10357" NA
"ILMN_13379" "XKR5" "389610"
"ILMN_13380" "PRDM16" "63976"
"ILMN_13383" "METTL6" "131965"
"ILMN_13385" "MAGED2" "10916"
"ILMN_13386" "RBPMS" "11030"
"ILMN_13388" "ERCC5" "2073"
"ILMN_13389" "KIF2B" "84643"
"ILMN_13390" "PCQAP" NA
"ILMN_13391" "TFAP2B" "7021"
"ILMN_13392" "RBM9" NA
"ILMN_13393" "MTP18" NA
"ILMN_13394" "SLC6A15" "55117"
"ILMN_13395" "DAP3" "7818"
"ILMN_13397" "FLJ20297" NA
"ILMN_13398" "PPP3CB" "5532"
"ILMN_13399" "MMP28" "79148"
"ILMN_13402" "C17orf66" NA
"ILMN_13403" "SLC17A1" "6568"
"ILMN_13404" "TNFRSF9" "3604"
"ILMN_13405" "RAP1GA1" NA
"ILMN_13407" "LRRC56" "115399"
"ILMN_13408" "SMCX" NA
"ILMN_13409" "U2AF1L2" NA
"ILMN_13411" "LIPG" "9388"
"ILMN_13412" "LETM1" "3954"
"ILMN_13414" "BTBD3" "22903"
"ILMN_13415" "SLC39A10" "57181"
"ILMN_13416" "FAM96A" "84191"
"ILMN_13417" "UNQ470" NA
"ILMN_13419" "ELOVL7" "79993"
"ILMN_1342" "RBM15" "64783"
"ILMN_13420" "C17orf57" NA
"ILMN_13421" "IQCD" "115811"
"ILMN_13424" "C14orf143" NA
"ILMN_13425" "SSH3" "54961"
"ILMN_13426" "DCAL1" NA
"ILMN_13427" "POLR2L" "5441"
"ILMN_13428" "PMP2" "5375"
"ILMN_1343" "C3orf37" NA
"ILMN_13435" "TM6SF2" "53345"
"ILMN_13436" "MPPED1" "758"
"ILMN_13438" "ANKZF1" "55139"
"ILMN_13440" "MGC13057" NA
"ILMN_13441" "OR12D3" "81797"
"ILMN_13445" "F11" "2160"
"ILMN_13448" "GLB1L" "79411"
"ILMN_1345" "MGC33367" NA
"ILMN_13450" "DTYMK" "1841"
"ILMN_13452" "MGC26647" NA
"ILMN_13455" "LRRC6" "23639"
"ILMN_13458" "OR4F5" "79501"
"ILMN_1346" "DCLRE1A" "9937"
"ILMN_13460" "VANGL2" "57216"
"ILMN_13462" "CDCA8" "55143"
"ILMN_13465" "MGC13024" NA
"ILMN_13466" "GRIN2C" "2905"
"ILMN_13468" "OR5D18" "219438"
"ILMN_13469" "KIAA1274" NA
"ILMN_1347" "TMTC4" "84899"
"ILMN_13470" "UST" "10090"
"ILMN_13471" "ANKRD13D" "338692"
"ILMN_13472" "U1SNRNPBP" NA
"ILMN_13473" "BCL2L10" "10017"
"ILMN_13475" "OR1L1" "26737"
"ILMN_13476" "TIPRL" "261726"
"ILMN_13478" "TRAF3IP2" "10758"
"ILMN_13481" "ZC3HAV1" "56829"
"ILMN_13482" "EMP2" "2013"
"ILMN_13483" "MYO1B" "4430"
"ILMN_13484" "TP73L" NA
"ILMN_13485" "RUSC1" "23623"
"ILMN_13486" "PPP2R2B" "5521"
"ILMN_13487" "RPS12" "6206"
"ILMN_13488" "FLJ38717" NA
"ILMN_13489" "ARPC5" "10092"
"ILMN_1349" "TNRC15" NA
"ILMN_13490" "KARCA1" NA
"ILMN_13491" "CD69" "969"
"ILMN_13492" "GDI1" "2664"
"ILMN_13493" "HIST2H2AC" "8338"
"ILMN_13494" "MELK" "9833"
"ILMN_13495" "TTBK1" "84630"
"ILMN_13496" "BDP1" "55814"
"ILMN_13497" "DSCR2" NA
"ILMN_13498" "FABP7" "2173"
"ILMN_13500" "PODXL" "5420"
"ILMN_13502" "RNF19" NA
"ILMN_13503" "YARS" "8565"
"ILMN_13504" "COX15" "1355"
"ILMN_13505" "LCE3A" "353142"
"ILMN_13507" "LOC284948" NA
"ILMN_13509" "LOC441931" NA
"ILMN_1351" "MAPK1" "5594"
"ILMN_13510" "ZNF18" "7566"
"ILMN_13513" "SF3A1" "10291"
"ILMN_13514" "COL4A5" "1287"
"ILMN_13515" "PDE7A" "5150"
"ILMN_13516" "PKN1" "5585"
"ILMN_13517" "PLA2G6" "8398"
"ILMN_13518" "NTSR1" "4923"
"ILMN_13519" "SYNE1" "23345"
"ILMN_13520" "DDC" "1644"
"ILMN_13521" "MAP1A" "4130"
"ILMN_13522" "RDBP" NA
"ILMN_13523" "ST8SIA4" "7903"
"ILMN_13524" "FYB" "2533"
"ILMN_13525" "TXNL2" NA
"ILMN_13527" "ABCA2" "20"
"ILMN_13528" "RORA" "6095"
"ILMN_13529" "NSDHL" "50814"
"ILMN_1353" "ZNF690" NA
"ILMN_13530" "ITPR2" "3709"
"ILMN_13531" "C10orf119" NA
"ILMN_13532" "GMPPB" "29925"
"ILMN_13533" "TUBG2" "27175"
"ILMN_13535" "ZNF416" "55659"
"ILMN_13536" "C15orf17" NA
"ILMN_13537" "TMPRSS13" "84000"
"ILMN_13538" "NUAK2" "81788"
"ILMN_1354" "TNFSF11" "8600"
"ILMN_13540" "MORN1" "79906"
"ILMN_13541" "MRPL4" "51073"
"ILMN_13544" "C20orf173" "140873"
"ILMN_13545" "ZNF625" "90589"
"ILMN_13546" "CRISP1" "167"
"ILMN_13547" "SLC5A12" "159963"
"ILMN_13548" "ACTR8" "93973"
"ILMN_13549" "SMA3" NA
"ILMN_13555" "TMEM79" "84283"
"ILMN_1356" "KLHL13" "90293"
"ILMN_13561" "RASD1" "51655"
"ILMN_13562" "LILRA5" "353514"
"ILMN_13566" "DMBX1" "127343"
"ILMN_13567" "IL12RB1" "3594"
"ILMN_13569" "BTN2A2" "10385"
"ILMN_13572" "KCTD2" "23510"
"ILMN_13576" "CLDN20" "49861"
"ILMN_13578" "RGMB" "285704"
"ILMN_13579" "FAM43B" "163933"
"ILMN_1358" "RSHL1" NA
"ILMN_13580" "FLJ41821" NA
"ILMN_13581" "SUHW4" NA
"ILMN_13582" "OR10G9" "219870"
"ILMN_13583" "DNAH10" "196385"
"ILMN_13585" "CHD3" "1107"
"ILMN_13587" "OR51G1" "79324"
"ILMN_13588" "ALF" NA
"ILMN_13589" "ZNF23" "7571"
"ILMN_1359" "MECR" "51102"
"ILMN_13590" "NMNAT2" "23057"
"ILMN_13591" "SLC44A5" "204962"
"ILMN_13593" "UBE2J2" "118424"
"ILMN_13594" "NME5" "8382"
"ILMN_13595" "LOC51035" NA
"ILMN_13596" "MLH1" "4292"
"ILMN_13600" "NUFIP1" "26747"
"ILMN_13601" "MAPK15" "225689"
"ILMN_13603" "FOSB" "2354"
"ILMN_13604" "GTF2F1" "2962"
"ILMN_13605" "NARS2" "79731"
"ILMN_13606" "HLA-DPA1" "3113"
"ILMN_13608" "SMC2L1" NA
"ILMN_13609" "MATK" "4145"
"ILMN_13610" "TRERF1" "55809"
"ILMN_13611" "MAP2K6" "5608"
"ILMN_13612" "SELS" NA
"ILMN_13613" "NOX5" "79400"
"ILMN_13614" "ABCA7" "10347"
"ILMN_13615" "ELF3" "1999"
"ILMN_13617" "TSP50" NA
"ILMN_13618" "VPS53" "55275"
"ILMN_13619" "CPA5" "93979"
"ILMN_13621" "SEC23A" "10484"
"ILMN_13622" "P4HA1" "5033"
"ILMN_13624" "MAST2" "23139"
"ILMN_13625" "TRIM7" "81786"
"ILMN_13626" "EMD" "2010"
"ILMN_13627" "COASY" "80347"
"ILMN_13630" "SKP2" "6502"
"ILMN_13632" "SLC25A2" "83884"
"ILMN_13634" "AMPD3" "272"
"ILMN_13635" "SPINLW1" NA
"ILMN_13636" "CNR2" "1269"
"ILMN_13638" "CDY2B" "203611"
"ILMN_13639" "MGC39545" NA
"ILMN_1364" "FLJ23754" NA
"ILMN_13640" "D15Wsu75e" NA
"ILMN_13641" "POLG" "5428"
"ILMN_13642" "STON2" "85439"
"ILMN_13643" "RTN4R" "65078"
"ILMN_13645" "EN1" "2019"
"ILMN_13646" "POLR2G" "5436"
"ILMN_13647" "BTNL8" "79908"
"ILMN_13648" "ZNF11B" NA
"ILMN_13650" "GMPPA" "29926"
"ILMN_13651" "KCNK4" "50801"
"ILMN_13652" "UBQLN3" "50613"
"ILMN_13655" "C6orf148" NA
"ILMN_13656" "WDR71" NA
"ILMN_13657" "FAM105B" NA
"ILMN_13658" "ZNF408" "79797"
"ILMN_1366" "LOC130940" NA
"ILMN_13660" "C20orf175" NA
"ILMN_13661" "C10orf35" "219738"
"ILMN_13662" "C9orf41" NA
"ILMN_13664" "FSD1" "79187"
"ILMN_13666" "PHTF2" "57157"
"ILMN_13668" "RIS1" NA
"ILMN_1367" "FLJ44653" NA
"ILMN_13670" "FLJ10490" NA
"ILMN_13675" "KIAA1920" NA
"ILMN_1368" "OLFML1" "283298"
"ILMN_13682" "SHD" "56961"
"ILMN_13683" "C22orf25" NA
"ILMN_13684" "DDX49" "54555"
"ILMN_13685" "PI3" "5266"
"ILMN_13686" "LOC375449" NA
"ILMN_13687" "PCDH18" "54510"
"ILMN_13688" "FANCE" "2178"
"ILMN_1369" "C21orf24" NA
"ILMN_13691" "DPPA2" "151871"
"ILMN_136925" "MGAT4B" "11282"
"ILMN_136927" "MARK2" "2011"
"ILMN_136932" "BCR" "613"
"ILMN_136933" "CLEC4E" "26253"
"ILMN_136934" "TBL2" "26608"
"ILMN_136935" "SPOCK" NA
"ILMN_136936" "CXorf22" NA
"ILMN_136937" "PCNT2" NA
"ILMN_13694" "OR4K15" "81127"
"ILMN_136941" "CAMKV" "79012"
"ILMN_136942" "HD" NA
"ILMN_136946" "C12orf8" NA
"ILMN_136947" "B3GAT1" "27087"
"ILMN_136948" "DPP8" "54878"
"ILMN_136949" "C20orf27" "54976"
"ILMN_136950" "FSD1CL" NA
"ILMN_136951" "KCNQ2" "3785"
"ILMN_136952" "SORBS1" "10580"
"ILMN_136958" "ADD2" "119"
"ILMN_13696" "PNLIPRP3" "119548"
"ILMN_136960" "DSPP" "1834"
"ILMN_136961" "NCF1" "653361"
"ILMN_136962" "CLCA3" NA
"ILMN_136963" "C20orf121" NA
"ILMN_136964" "SET7" NA
"ILMN_136965" "B3GALT3" NA
"ILMN_136970" "LOC284948" NA
"ILMN_136971" "KRTAP19-6" "337973"
"ILMN_136976" "NYD-SP18" NA
"ILMN_136977" "CYFIP2" "26999"
"ILMN_13698" "NKIRAS2" "28511"
"ILMN_136985" "BCR" "613"
"ILMN_136986" "SPRR2E" "6704"
"ILMN_136987" "FLJ20718" NA
"ILMN_136988" "FLJ44186" NA
"ILMN_13699" "CHML" "1122"
"ILMN_136996" "NYD-SP26" NA
"ILMN_1370" "RBMY1J" "378951"
"ILMN_137007" "AFF2" "2334"
"ILMN_137008" "ATP5G2" "517"
"ILMN_137018" "LAT2" "7462"
"ILMN_137019" "RAB3IP" "117177"
"ILMN_13702" "USP3" "9960"
"ILMN_137020" "ATP5G2" "517"
"ILMN_137022" "COG1" "9382"
"ILMN_137028" "TBC1D3C" "414060"
"ILMN_137029" "ABCA9" "10350"
"ILMN_13703" "LOC129530" NA
"ILMN_137030" "DERPC" NA
"ILMN_137031" "SRD5A1" "6715"
"ILMN_137039" "RGS8" "85397"
"ILMN_13704" "KIAA0329" NA
"ILMN_137041" "DKFZp762E1312" NA
"ILMN_137045" "GAL" "51083"
"ILMN_137046" "RPL17" "6139"
"ILMN_137047" "DKFZp434O0527" NA
"ILMN_137048" "HNRPA1" NA
"ILMN_137049" "DNCL1" NA
"ILMN_13705" "DEDD" "9191"
"ILMN_137055" "UBXD6" NA
"ILMN_137056" "NOLA1" NA
"ILMN_137057" "NRCAM" "4897"
"ILMN_13706" "OR4A5" "81318"
"ILMN_137062" "SLC2A4" "6517"
"ILMN_137064" "ZIK1" "284307"
"ILMN_137068" "STAU" NA
"ILMN_137070" "EIF4B" "1975"
"ILMN_137072" "UBPH" NA
"ILMN_137076" "HMG20B" "10362"
"ILMN_137077" "WBSCR14" NA
"ILMN_137078" "FLJ13909" NA
"ILMN_137079" "MTMR11" "10903"
"ILMN_13708" "OR51G2" "81282"
"ILMN_137085" "LOC493860" NA
"ILMN_137089" "PRR11" "55771"
"ILMN_13709" "MGST1" "4257"
"ILMN_137090" "FLJ10324" NA
"ILMN_137091" "RASSF2" "9770"
"ILMN_137098" "BET1" "10282"
"ILMN_1371" "TM9SF1" "10548"
"ILMN_13710" "TRAF3IP2" "10758"
"ILMN_137100" "GPX4" "2879"
"ILMN_137102" "CDC25B" "994"
"ILMN_137103" "GPR6" "2830"
"ILMN_137105" "ARMETL1" NA
"ILMN_137108" "DPP6" "1804"
"ILMN_137122" "FLJ37970" NA
"ILMN_137125" "C14orf173" NA
"ILMN_137126" "MGC15523" NA
"ILMN_13713" "ZMPSTE24" "10269"
"ILMN_137133" "CRB3" "92359"
"ILMN_137134" "RPL37A" "6168"
"ILMN_137136" "EEF1B2" "1933"
"ILMN_13714" "ADCY8" "114"
"ILMN_137145" "FLJ25758" "497049"
"ILMN_13715" "TOMM7" "54543"
"ILMN_13716" "ANG" "283"
"ILMN_137162" "SDCCAG3" "10807"
"ILMN_137163" "M160" NA
"ILMN_137168" "AIRE" "326"
"ILMN_13717" "DNMT2" NA
"ILMN_137172" "PAX8" "7849"
"ILMN_13718" "ESAM" "90952"
"ILMN_137181" "C21orf127" NA
"ILMN_137182" "LRRTM1" "347730"
"ILMN_137183" "CDC25B" "994"
"ILMN_137184" "CD34" "947"
"ILMN_137185" "ARL5" NA
"ILMN_13719" "KIAA0100" "9703"
"ILMN_137193" "SECISBP2" "79048"
"ILMN_137196" "SEC10L1" NA
"ILMN_137197" "DPP3" "10072"
"ILMN_13720" "AIP" "9049"
"ILMN_137208" "EGFL8" "80864"
"ILMN_13721" "CACNA1A" "773"
"ILMN_137212" "NFXL1" "152518"
"ILMN_137213" "GPR107" "57720"
"ILMN_137214" "GABRB3" "2562"
"ILMN_13722" "MS4A4A" "51338"
"ILMN_137220" "ATPBD1B" NA
"ILMN_137221" "TP53TG3" "24150"
"ILMN_137222" "SLC22A7" "10864"
"ILMN_137229" "MGC15763" NA
"ILMN_137235" "DLX5" "1749"
"ILMN_137237" "PDZK3" NA
"ILMN_13724" "CNGA3" "1261"
"ILMN_137242" "EEF2" "1938"
"ILMN_137244" "FLJ21839" NA
"ILMN_137245" "BRAF" "673"
"ILMN_137246" "HOXB7" "3217"
"ILMN_13725" "MCTS1" "28985"
"ILMN_137251" "ATP5G3" "518"
"ILMN_137256" "TRMU" "55687"
"ILMN_13726" "DMN" NA
"ILMN_137260" "TTC10" NA
"ILMN_137261" "PRPS2" "5634"
"ILMN_137262" "C9orf68" NA
"ILMN_137268" "C9orf102" NA
"ILMN_137269" "WIT-1" NA
"ILMN_13727" "TCN1" "6947"
"ILMN_137270" "CBFA2T2" "9139"
"ILMN_137280" "PTPLA" NA
"ILMN_137281" "ARL4" NA
"ILMN_137282" "ETNK1" "55500"
"ILMN_137287" "GOLGA6" NA
"ILMN_13729" "NIFIE14" NA
"ILMN_137290" "SRP9" "6726"
"ILMN_137291" "ARL4" NA
"ILMN_137292" "SLC22A7" "10864"
"ILMN_137293" "KCNK5" "8645"
"ILMN_137297" "CYB5R4" "51167"
"ILMN_137300" "KLK4" "9622"
"ILMN_137302" "OR2H2" "7932"
"ILMN_137303" "CALM1" "801"
"ILMN_137304" "CDKL5" "6792"
"ILMN_137307" "HOXB3" "3213"
"ILMN_137314" "EIF3S12" NA
"ILMN_137320" "MEOX1" "4222"
"ILMN_137321" "ZFP3" "124961"
"ILMN_137322" "GTPBP1" "9567"
"ILMN_137325" "MAP2" "4133"
"ILMN_137328" "DNAJB2" "3300"
"ILMN_137329" "ITR" NA
"ILMN_13733" "LOC401296" "401296"
"ILMN_137330" "HHLA3" "11147"
"ILMN_137331" "RSPO4" "343637"
"ILMN_137333" "AQP6" "363"
"ILMN_137335" "ISGF3G" NA
"ILMN_13734" "PPIE" "10450"
"ILMN_137342" "ATP6V1B2" "526"
"ILMN_137344" "DDX26" NA
"ILMN_13735" "TOB1" "10140"
"ILMN_137350" "KCNK4" "50801"
"ILMN_137351" "HOXA3" "3200"
"ILMN_137353" "CR1" "1378"
"ILMN_13736" "ADAMTS6" "11174"
"ILMN_137361" "HOXA3" "3200"
"ILMN_137362" "EIF3S9" NA
"ILMN_137364" "MSX2" "4488"
"ILMN_13737" "ELF5" "2001"
"ILMN_137372" "DRD3" "1814"
"ILMN_137373" "C13orf7" NA
"ILMN_137374" "MKS1" "54903"
"ILMN_137375" "GBL" NA
"ILMN_137378" "POLR2C" "5432"
"ILMN_137381" "MDM4" "4194"
"ILMN_137382" "ARPM2" NA
"ILMN_137384" "PSMD4" "5710"
"ILMN_13739" "CTDSP1" "58190"
"ILMN_137393" "PSARL" NA
"ILMN_137396" "CD79A" "973"
"ILMN_1374" "ACLY" "47"
"ILMN_13740" "MCM2" "4171"
"ILMN_137402" "EIF3S10" NA
"ILMN_137405" "GAPDH" "2597"
"ILMN_137409" "ACHE" "43"
"ILMN_137410" "RPL36A" "6173"
"ILMN_137411" "ATP6V0B" "533"
"ILMN_137412" "DLX2" "1746"
"ILMN_137418" "CNOT7" "29883"
"ILMN_137421" "UNC45A" "55898"
"ILMN_137422" "NAT5" NA
"ILMN_137423" "CDA" "978"
"ILMN_13743" "MBD2" "8932"
"ILMN_137432" "ZFP42" "132625"
"ILMN_137433" "BOLA3" "388962"
"ILMN_137434" "KCNIP4" "80333"
"ILMN_13744" "CCDC37" NA
"ILMN_137441" "SHOX2" "6474"
"ILMN_137447" "GPR24" NA
"ILMN_137451" "DIXDC1" "85458"
"ILMN_137452" "HOXB9" "3219"
"ILMN_137453" "PALM2" "114299"
"ILMN_13746" "RBPMS" "11030"
"ILMN_137460" "NR1H2" "7376"
"ILMN_137462" "UBR1" "197131"
"ILMN_137467" "HOXB6" "3216"
"ILMN_13747" "WDR5" "11091"
"ILMN_137470" "LCN12" "286256"
"ILMN_137471" "MGC3731" NA
"ILMN_137473" "TXNRD2" "10587"
"ILMN_137475" "CNTNAP2" "26047"
"ILMN_13748" "CPT1A" "1374"
"ILMN_137480" "KATNB1" "10300"
"ILMN_137481" "CIAPIN1" "57019"
"ILMN_137482" "C12orf48" NA
"ILMN_137483" "DHX57" "90957"
"ILMN_137484" "DPH2" "1802"
"ILMN_137485" "TTLL11" "158135"
"ILMN_137487" "ARG99" NA
"ILMN_13749" "HRNR" "388697"
"ILMN_137493" "ACACA" "31"
"ILMN_137494" "AQP1" "358"
"ILMN_137497" "SHOX" "6473"
"ILMN_1375" "SPRED1" "161742"
"ILMN_13750" "STRAP" "11171"
"ILMN_137506" "EEF2K" "29904"
"ILMN_137507" "PANK2" "80025"
"ILMN_137508" "NPPB" "4879"
"ILMN_137509" "RPL23A" "6147"
"ILMN_13751" "MVK" "4598"
"ILMN_137518" "GNB2L1" NA
"ILMN_137519" "HUS1B" "135458"
"ILMN_13752" "ENAH" "55740"
"ILMN_137520" "WBSCR20B" NA
"ILMN_137521" "SYF2" "25949"
"ILMN_137523" "SMOX" "54498"
"ILMN_137528" "RPL23" "9349"
"ILMN_13753" "MTRR" "4552"
"ILMN_137530" "HOXA1" "3198"
"ILMN_137533" "COL5A2" "1290"
"ILMN_137537" "C8orf72" NA
"ILMN_137539" "HOXC10" "3226"
"ILMN_137542" "PAX1" "5075"
"ILMN_137543" "FLJ35816" "401114"
"ILMN_13755" "CLDN7" "1366"
"ILMN_137552" "MAPT" "4137"
"ILMN_137556" "VPS26" NA
"ILMN_137557" "CPNE9" "151835"
"ILMN_13756" "CASP10" "843"
"ILMN_137560" "WNT8A" "7478"
"ILMN_137561" "DPP6" "1804"
"ILMN_13757" "PDGFRA" "5156"
"ILMN_137570" "MAPT" "4137"
"ILMN_137573" "ZCSL3" NA
"ILMN_137575" "C12orf40" "283461"
"ILMN_13758" "BAIAP2" "10458"
"ILMN_137583" "CCRK" NA
"ILMN_137588" "HOXB2" "3212"
"ILMN_13759" "GPR30" NA
"ILMN_137591" "STAU" NA
"ILMN_137594" "CLEC7A" "64581"
"ILMN_137597" "ITGA2B" "3674"
"ILMN_137598" "RNF36" NA
"ILMN_1376" "LYZL1" "84569"
"ILMN_13760" "SRGAP3" "9901"
"ILMN_137600" "ICAM4" "3386"
"ILMN_137609" "C21orf127" NA
"ILMN_13761" "ADRA2B" "151"
"ILMN_137610" "CCDC22" "28952"
"ILMN_13762" "KLF10" "7071"
"ILMN_137626" "PMF1" "11243"
"ILMN_13763" "PDGFC" "56034"
"ILMN_137635" "ZAK" "51776"
"ILMN_137637" "CAPZA1" "829"
"ILMN_137639" "KLF8" "11279"
"ILMN_137641" "IL17RC" "84818"
"ILMN_137648" "ICMT" "23463"
"ILMN_13765" "CDY2A" "9426"
"ILMN_137650" "SFRS5" NA
"ILMN_137654" "LHX3" "8022"
"ILMN_137655" "RPL27" "6155"
"ILMN_137663" "EIF2B3" "8891"
"ILMN_137664" "GGPS1" "9453"
"ILMN_137665" "ST6GALNAC1" "55808"
"ILMN_137667" "CAPN10" "11132"
"ILMN_13767" "CPB2" "1361"
"ILMN_137671" "SN" NA
"ILMN_137677" "CDC42" "998"
"ILMN_137678" "SV2B" "9899"
"ILMN_137679" "MTL5" NA
"ILMN_137680" "ZPBP2" "124626"
"ILMN_137681" "HHEX" "3087"
"ILMN_137689" "VANGL1" "81839"
"ILMN_13769" "SPINK4" "27290"
"ILMN_137691" "RGS19" "10287"
"ILMN_137692" "GFRA1" "2674"
"ILMN_137696" "PSMD4" "5710"
"ILMN_137699" "PANK2" "80025"
"ILMN_1377" "BRSK2" "9024"
"ILMN_13770" "CCL25" "6370"
"ILMN_137708" "MGC3207" NA
"ILMN_137709" "ELMO1" "9844"
"ILMN_13771" "FLJ23235" NA
"ILMN_137712" "GATAD1" "57798"
"ILMN_137713" "PTGER3" "5733"
"ILMN_137714" "FLJ31846" NA
"ILMN_137717" "SDHC" "6391"
"ILMN_13772" "ZNF17" "7565"
"ILMN_137727" "USP14" "9097"
"ILMN_137728" "C9orf132" NA
"ILMN_137729" "TIAL1" "7073"
"ILMN_137730" "PTGFR" "5737"
"ILMN_137732" "MSH5" "4439"
"ILMN_137739" "PFDN5" "5204"
"ILMN_13774" "MAFF" "23764"
"ILMN_13775" "KIFAP3" "22920"
"ILMN_137753" "GTF3C2" "2976"
"ILMN_137754" "HEM1" NA
"ILMN_13776" "IRX4" "50805"
"ILMN_137766" "NOLA3" NA
"ILMN_137767" "OR9Q1" "219956"
"ILMN_13777" "NANS" "54187"
"ILMN_137773" "CYP2S1" "29785"
"ILMN_137775" "GALGT" NA
"ILMN_137779" "DOK2" "9046"
"ILMN_13778" "ZNF446" "55663"
"ILMN_137784" "AMFR" "267"
"ILMN_137786" "CHRNA1" "1134"
"ILMN_137789" "ICF45" NA
"ILMN_13779" "TTC7A" "57217"
"ILMN_137796" "ZNF626" "199777"
"ILMN_137797" "GON4" NA
"ILMN_137798" "CD200" "4345"
