"PROBEID" "SYMBOL" "ENTREZID"
"ILMN_1021" "SHANK2" "22941"
"ILMN_10210" "SERPINB1" "1992"
"ILMN_10211" "C19orf12" "83636"
"ILMN_10212" "ABCG4" "64137"
"ILMN_10213" "TRIP4" "9325"
"ILMN_10214" "WFDC12" "128488"
"ILMN_10219" "C22orf5" NA
"ILMN_1022" "EYA2" "2139"
"ILMN_10220" "BATF2" "116071"
"ILMN_10221" "FLJ90709" NA
"ILMN_10224" "AQP2" "359"
"ILMN_10226" "PCDHB3" "56132"
"ILMN_10227" "UEV3" NA
"ILMN_10228" "IDI2" "91734"
"ILMN_10229" "STEAP1" "26872"
"ILMN_1023" "LRRC8C" "84230"
"ILMN_10230" "DLC1" "10395"
"ILMN_10231" "AIM2" "9447"
"ILMN_10232" "FCHSD2" "9873"
"ILMN_10233" "APBA1" "320"
"ILMN_10234" "ABCD4" "5826"
"ILMN_10236" "TRAF3" "7187"
"ILMN_10237" "BCL11B" "64919"
"ILMN_10239" "GZMH" "2999"
"ILMN_1024" "PPP1R15A" "23645"
"ILMN_10240" "ZNF175" "7728"
"ILMN_10243" "MLX" "6945"
"ILMN_10245" "APITD1" NA
"ILMN_10246" "MAP4K5" "11183"
"ILMN_10247" "LAT" "27040"
"ILMN_10248" "TCEA2" "6919"
"ILMN_10249" "UGT1A6" "54578"
"ILMN_1025" "ALDH5A1" "7915"
"ILMN_10251" "ERAF" NA
"ILMN_10252" "ABCB9" "23457"
"ILMN_10254" "RELA" "5970"
"ILMN_10255" "FOXP4" "116113"
"ILMN_10256" "GPS2" "2874"
"ILMN_10257" "OCRL" "4952"
"ILMN_10258" "STARD3" "10948"
"ILMN_1026" "SP110" "3431"
"ILMN_10260" "BIRC8" "112401"
"ILMN_10261" "DDAH1" "23576"
"ILMN_10262" "CUL5" "8065"
"ILMN_10263" "TIAM2" "26230"
"ILMN_10264" "FLJ43806" NA
"ILMN_10265" "RAB27A" "5873"
"ILMN_10267" "JOSD2" "126119"
"ILMN_10269" "IL17" NA
"ILMN_1027" "DIAPH1" "1729"
"ILMN_10270" "KLK10" "5655"
"ILMN_10271" "AKAP8" "10270"
"ILMN_10272" "USH2A" "7399"
"ILMN_10274" "OR1J2" "26740"
"ILMN_10275" "RPS7" "6201"
"ILMN_10278" "IKIP" NA
"ILMN_10279" "OR5F1" "338674"
"ILMN_1028" "PKD1L1" "168507"
"ILMN_10280" "OXA1L" "5018"
"ILMN_10281" "MGC15875" NA
"ILMN_10282" "NPM3" "10360"
"ILMN_10283" "CDR2" "1039"
"ILMN_10285" "ZNF221" "7638"
"ILMN_10286" "SLC17A6" "57084"
"ILMN_10287" "C6orf105" NA
"ILMN_10289" "RPL22" "6146"
"ILMN_10290" "BLNK" "29760"
"ILMN_10291" "GPR173" "54328"
"ILMN_10292" "TBC1D7" "51256"
"ILMN_10294" "TMC4" "147798"
"ILMN_10296" "FA2H" "79152"
"ILMN_10297" "ZNF20" "7568"
"ILMN_10298" "FAM18B2" NA
"ILMN_10299" "KIAA1524" "57650"
"ILMN_1030" "RICS" NA
"ILMN_10300" "CROP" NA
"ILMN_10306" "DPAGT1" "1798"
"ILMN_10309" "FBXO25" "26260"
"ILMN_1031" "C14orf11" NA
"ILMN_10315" "PTGER3" "5733"
"ILMN_1032" "COL6A3" "1293"
"ILMN_10320" "RNF149" "284996"
"ILMN_10321" "TNFSF11" "8600"
"ILMN_10323" "RSBN1L" "222194"
"ILMN_10328" "CDA08" NA
"ILMN_10329" "FLJ26443" NA
"ILMN_1033" "CCNT1" "904"
"ILMN_10332" "OR2T8" "343172"
"ILMN_10334" "CLDN18" "51208"
"ILMN_10336" "AK3L2" NA
"ILMN_10337" "C6orf163" "206412"
"ILMN_10338" "C1orf84" NA
"ILMN_10339" "NGFRAP1L1" NA
"ILMN_1034" "SERPINA1" "5265"
"ILMN_10341" "LRRC52" "440699"
"ILMN_10343" "CCRL2" "9034"
"ILMN_10344" "POU2F2" "5452"
"ILMN_10345" "CTNNBL1" "56259"
"ILMN_10346" "ABC1" NA
"ILMN_10347" "PPIL4" "85313"
"ILMN_10348" "KIRREL2" "84063"
"ILMN_10349" "NEK11" "79858"
"ILMN_1035" "MAPRE3" "22924"
"ILMN_10350" "UBE3B" "89910"
"ILMN_10351" "TGM3" "7053"
"ILMN_10353" "MGC70863" NA
"ILMN_10354" "LOC158318" NA
"ILMN_10355" "DCUN1D2" "55208"
"ILMN_10356" "CHRNA2" "1135"
"ILMN_10357" "NOC2L" "26155"
"ILMN_10359" "SPAG5" "10615"
"ILMN_1036" "CHI3L2" "1117"
"ILMN_10360" "PRSS16" "10279"
"ILMN_10361" "C1orf189" "388701"
"ILMN_10362" "POLA" NA
"ILMN_10363" "TAS2R50" "259296"
"ILMN_10364" "ZNF41" "7592"
"ILMN_10365" "BAGE" "574"
"ILMN_10366" "CDH8" "1006"
"ILMN_10367" "FAF1" "11124"
"ILMN_10368" "IL18BP" "10068"
"ILMN_10369" "ARL6" "84100"
"ILMN_1037" "UNC13B" "10497"
"ILMN_10370" "MBP" "4155"
"ILMN_10371" "WHSC1" "7468"
"ILMN_10372" "CCL19" "6363"
"ILMN_10373" "MBNL1" "4154"
"ILMN_10374" "COG5" "10466"
"ILMN_10375" "EPHA3" "2042"
"ILMN_10376" "GPX1" "2876"
"ILMN_10378" "PPP2R3A" "5523"
"ILMN_1038" "LMX1A" "4009"
"ILMN_10380" "SLC4A1" "6521"
"ILMN_10381" "LAT" "27040"
"ILMN_10382" "TCEA2" "6919"
"ILMN_10384" "TREX2" "11219"
"ILMN_10385" "ARTS-1" NA
"ILMN_10386" "ABCE1" "6059"
"ILMN_10387" "SYN3" "8224"
"ILMN_10389" "POLQ" "10721"
"ILMN_1039" "CHIT1" "1118"
"ILMN_10390" "NFYA" "4800"
"ILMN_10391" "C3orf24" NA
"ILMN_10392" "UQCR" NA
"ILMN_10394" "SH3GLB1" "51100"
"ILMN_10395" "VARS" "7407"
"ILMN_10396" "OSRF" NA
